                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9918,                 2.4419,                 1.0126,                0.38622,                0.39005,                0.30341,                0.14531,                 1.9652,                 1.9621,                0.96053,               0.070003,              0.0033331,              0.0033331
                      1,                 1.9526,                 2.0451,                 1.0106,                0.36737,                0.40558,                0.30336,                0.15138,                 1.9441,                 1.9756,                0.95573,               0.039343,              0.0060064,              0.0060064
                      2,                 1.9524,                 2.0123,                 1.0269,                0.40095,                0.42795,                0.33016,                0.16961,                 1.8352,                 1.8435,                0.94788,              0.0080226,              0.0080198,              0.0080198
                      3,                 1.8971,                 1.9321,                 1.0197,                0.40639,                0.46015,                0.35885,                0.18453,                 1.7649,                 1.7604,                0.93552,                0.00703,                0.00703,                0.00703
                      4,                 1.8074,                 1.8058,                 1.0019,                0.41761,                0.48208,                0.39182,                0.20894,                 1.6667,                 1.6834,                0.92185,                0.00703,                0.00703,                0.00703
                      5,                 1.7232,                 1.7161,                0.97879,                0.43182,                0.51447,                0.41009,                0.21965,                 1.6408,                 1.6341,                0.91516,                0.00604,                0.00604,                0.00604
                      6,                 1.6591,                 1.6455,                0.96562,                0.42944,                0.52817,                0.43021,                0.23432,                 1.5958,                 1.5805,                0.90554,                0.00505,                0.00505,                0.00505
                      7,                 1.5954,                 1.5733,                0.94969,                0.43779,                0.53565,                0.43931,                0.24391,                 1.5565,                 1.5461,                0.89782,                0.00406,                0.00406,                0.00406
                      8,                 1.5574,                 1.5184,                0.94068,                0.44103,                0.54061,                0.45314,                0.25368,                 1.5558,                  1.529,                0.89924,                0.00307,                0.00307,                0.00307
                      9,                 1.5078,                 1.4613,                0.93061,                0.44251,                0.54815,                0.45764,                0.25377,                 1.5446,                 1.5051,                0.89832,                0.00208,                0.00208,                0.00208
