                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.668,                 1.9269,                0.95036,                0.38303,                0.48745,                0.37373,                0.18904,                 1.7496,                 1.7305,                0.92438,               0.070003,              0.0033331,              0.0033331
                      1,                 1.7395,                 1.7359,                0.97007,                0.39481,                0.49992,                0.38706,                0.20485,                 1.7108,                 1.6802,                0.92255,               0.039343,              0.0060064,              0.0060064
                      2,                 1.7898,                 1.7895,                0.99455,                0.42034,                0.47395,                0.38715,                0.20771,                 1.6735,                 1.6628,                0.92706,              0.0080226,              0.0080198,              0.0080198
                      3,                 1.7584,                 1.7473,                0.99127,                0.42016,                0.51199,                 0.4145,                0.22237,                 1.6442,                 1.6135,                0.91963,                0.00703,                0.00703,                0.00703
                      4,                 1.6638,                 1.6319,                0.97164,                  0.448,                0.53687,                0.46406,                0.26071,                 1.5267,                  1.491,                0.90082,                0.00703,                0.00703,                0.00703
                      5,                 1.5687,                 1.5229,                0.94765,                0.46762,                0.54433,                0.48131,                0.27527,                 1.4701,                 1.4565,                0.89338,                0.00604,                0.00604,                0.00604
                      6,                 1.5035,                   1.46,                0.93384,                 0.4646,                0.58357,                0.50442,                0.29506,                 1.4281,                 1.3926,                0.88797,                0.00505,                0.00505,                0.00505
                      7,                 1.4369,                 1.3794,                0.92078,                0.46572,                0.56577,                0.51086,                0.30128,                 1.4042,                  1.376,                0.88074,                0.00406,                0.00406,                0.00406
                      8,                  1.386,                  1.329,                0.90962,                0.48459,                0.56517,                0.52032,                0.31022,                 1.3894,                 1.3582,                0.87758,                0.00307,                0.00307,                0.00307
                      9,                 1.3304,                 1.2747,                 0.8989,                0.48167,                0.57793,                0.52857,                0.31671,                 1.3702,                  1.332,                0.87408,                0.00208,                0.00208,                0.00208
