                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5951,                 1.7805,                0.93822,                0.42601,                 0.5063,                0.41345,                0.21863,                 1.6606,                 1.6445,                0.91312,               0.070003,              0.0033331,              0.0033331
                      1,                 1.7003,                 1.6862,                0.96955,                0.41089,                0.53839,                0.43569,                0.23465,                 1.6438,                 1.5995,                0.91806,               0.039343,              0.0060064,              0.0060064
                      2,                 1.7652,                 1.7534,                0.99451,                0.41577,                0.48889,                0.40723,                0.21957,                 1.6857,                 1.6254,                0.92567,              0.0080226,              0.0080198,              0.0080198
                      3,                 1.7255,                 1.7179,                0.98582,                0.42712,                0.52996,                0.44091,                 0.2435,                 1.5732,                  1.548,                0.91232,                0.00703,                0.00703,                0.00703
                      4,                 1.6324,                 1.5891,                0.96599,                0.44904,                0.52433,                0.46862,                0.26601,                 1.5043,                 1.4706,                0.89764,                0.00703,                0.00703,                0.00703
                      5,                 1.5348,                 1.4863,                 0.9425,                0.47216,                0.54293,                0.49057,                0.28733,                 1.4499,                 1.4241,                0.89172,                0.00604,                0.00604,                0.00604
                      6,                 1.4638,                 1.4189,                0.92708,                0.47463,                 0.5632,                0.51593,                0.30841,                  1.406,                 1.3719,                0.88563,                0.00505,                0.00505,                0.00505
                      7,                 1.4003,                 1.3383,                0.91453,                0.49025,                0.55321,                0.52717,                0.31615,                 1.3799,                 1.3399,                 0.8794,                0.00406,                0.00406,                0.00406
                      8,                 1.3497,                 1.2857,                0.90472,                0.49152,                0.56591,                0.53777,                0.32814,                 1.3479,                  1.307,                 0.8717,                0.00307,                0.00307,                0.00307
                      9,                 1.2941,                 1.2343,                0.89369,                0.49996,                0.56734,                0.54655,                0.33573,                 1.3263,                 1.2856,                0.86764,                0.00208,                0.00208,                0.00208
